epoch,accuracy,loss,lr,precision_1,recall_1,val_accuracy,val_loss,val_precision_1,val_recall_1
0,0.23000000417232513,2.2307682037353516,0.0005,0.21739129722118378,0.15000000596046448,0.17499999701976776,1.7973110675811768,0.1794871836900711,0.17499999701976776
1,0.20999999344348907,2.260943651199341,0.0005,0.20000000298023224,0.14000000059604645,0.17499999701976776,2.0693042278289795,0.1818181872367859,0.17499999701976776
2,0.28999999165534973,2.015974760055542,0.0005,0.31168830394744873,0.23999999463558197,0.1875,1.8527946472167969,0.19480518996715546,0.1875
3,0.32499998807907104,1.7510751485824585,5.0000002e-05,0.29931971430778503,0.2199999988079071,0.16249999403953552,1.7257449626922607,0.1780821979045868,0.16249999403953552
4,0.26923078298568726,1.8578253984451294,5.0000002e-05,0.2978723347187042,0.20192307233810425,0.1875,1.6054073572158813,0.2631579041481018,0.1875
5,0.32499998807907104,1.862073540687561,5.0000002e-05,0.3142857253551483,0.2199999988079071,0.1875,1.5153286457061768,0.32499998807907104,0.16249999403953552
6,0.28999999165534973,1.8542289733886719,5.0000002e-05,0.32413792610168457,0.23499999940395355,0.17499999701976776,1.4770185947418213,0.30000001192092896,0.11249999701976776
7,0.29499998688697815,1.8950141668319702,5.0000002e-05,0.3030303120613098,0.20000000298023224,0.15000000596046448,1.5452479124069214,0.2666666805744171,0.10000000149011612
8,0.36000001430511475,1.6665642261505127,5.0000002e-05,0.3958333432674408,0.2849999964237213,0.13750000298023224,1.5606958866119385,0.2195121943950653,0.11249999701976776
9,0.33500000834465027,1.679663896560669,1e-05,0.3893129825592041,0.2549999952316284,0.17499999701976776,1.5267317295074463,0.261904776096344,0.13750000298023224
10,0.29499998688697815,1.8621809482574463,1e-05,0.31506848335266113,0.23000000417232513,0.15000000596046448,1.5493018627166748,0.2142857164144516,0.11249999701976776
11,0.4000000059604645,1.5244784355163574,1e-05,0.4000000059604645,0.27000001072883606,0.17499999701976776,1.508406162261963,0.28205129504203796,0.13750000298023224
12,0.3199999928474426,1.7294297218322754,1e-05,0.34306567907333374,0.23499999940395355,0.16249999403953552,1.497531533241272,0.25,0.125
13,0.32499998807907104,1.7055729627609253,1e-05,0.34437087178230286,0.25999999046325684,0.16249999403953552,1.4727349281311035,0.26829269528388977,0.13750000298023224
14,0.3449999988079071,1.7732754945755005,1e-05,0.32374101877212524,0.22499999403953552,0.16249999403953552,1.4599360227584839,0.25581395626068115,0.13750000298023224
15,0.32499998807907104,1.7727916240692139,1e-05,0.3380281627178192,0.23999999463558197,0.16249999403953552,1.4608089923858643,0.21875,0.08749999850988388
16,0.3149999976158142,1.7406784296035767,1e-05,0.34532374143600464,0.23999999463558197,0.13750000298023224,1.481273889541626,0.2142857164144516,0.07500000298023224
17,0.3149999976158142,1.8544325828552246,1e-05,0.356589138507843,0.23000000417232513,0.1875,1.4203945398330688,0.24137930572032928,0.08749999850988388
18,0.4300000071525574,1.6945691108703613,1e-05,0.4178082048892975,0.3050000071525574,0.20000000298023224,1.4618217945098877,0.1818181872367859,0.05000000074505806
19,0.3400000035762787,1.8080276250839233,1e-05,0.3263888955116272,0.23499999940395355,0.23749999701976776,1.4276483058929443,0.21739129722118378,0.0625
20,0.35499998927116394,1.652429461479187,1e-05,0.3893129825592041,0.2549999952316284,0.26249998807907104,1.3920354843139648,0.190476194024086,0.05000000074505806
21,0.3050000071525574,1.8026689291000366,1e-05,0.356589138507843,0.23000000417232513,0.2750000059604645,1.4333823919296265,0.190476194024086,0.05000000074505806
22,0.30000001192092896,1.816626787185669,1e-05,0.34507042169570923,0.24500000476837158,0.3499999940395355,1.3975346088409424,0.27272728085517883,0.07500000298023224
23,0.3100000023841858,1.813880205154419,1e-05,0.31386861205101013,0.2150000035762787,0.4000000059604645,1.385588526725769,0.20000000298023224,0.05000000074505806
24,0.3149999976158142,1.7865440845489502,1e-05,0.3087248206138611,0.23000000417232513,0.36250001192092896,1.3908334970474243,0.30000001192092896,0.07500000298023224
25,0.3449999988079071,1.7396517992019653,1e-05,0.32116788625717163,0.2199999988079071,0.4000000059604645,1.3992763757705688,0.20000000298023224,0.0625
26,0.3449999988079071,1.6999621391296387,1e-05,0.39436620473861694,0.2800000011920929,0.4749999940395355,1.3499042987823486,0.20000000298023224,0.05000000074505806
27,0.39500001072883606,1.5588445663452148,1e-05,0.4571428596973419,0.3199999928474426,0.4625000059604645,1.3814517259597778,0.13636364042758942,0.03750000149011612
28,0.375,1.5408852100372314,1e-05,0.4029850661754608,0.27000001072883606,0.5,1.3959109783172607,0.21739129722118378,0.0625
29,0.3700000047683716,1.6632559299468994,1e-05,0.3787878751754761,0.25,0.5,1.3633695840835571,0.1818181872367859,0.05000000074505806
30,0.38999998569488525,1.573649287223816,1e-05,0.43884891271591187,0.3050000071525574,0.5249999761581421,1.329000473022461,0.2800000011920929,0.08749999850988388
31,0.33000001311302185,1.7257723808288574,1e-05,0.34057971835136414,0.23499999940395355,0.5,1.3465622663497925,0.20000000298023224,0.0625
32,0.36000001430511475,1.7242525815963745,1e-05,0.3733333349227905,0.2800000011920929,0.5,1.3680751323699951,0.1428571492433548,0.05000000074505806
33,0.35499998927116394,1.6975717544555664,1e-05,0.3636363744735718,0.25999999046325684,0.5375000238418579,1.3154315948486328,0.2666666805744171,0.10000000149011612
34,0.3199999928474426,1.8222601413726807,1e-05,0.31386861205101013,0.2150000035762787,0.5249999761581421,1.2913963794708252,0.40625,0.16249999403953552
35,0.35499998927116394,1.747875690460205,1e-05,0.36496350169181824,0.25,0.5625,1.244384765625,0.5227272510528564,0.2874999940395355
36,0.3400000035762787,1.6842840909957886,1e-05,0.36567163467407227,0.24500000476837158,0.4749999940395355,1.3589696884155273,0.42105263471603394,0.20000000298023224
37,0.33500000834465027,1.7720434665679932,1e-05,0.3642857074737549,0.2549999952316284,0.512499988079071,1.310075044631958,0.4736842215061188,0.22499999403953552
38,0.4000000059604645,1.7358489036560059,1e-05,0.4148148000240326,0.2800000011920929,0.512499988079071,1.3498542308807373,0.34285715222358704,0.15000000596046448
39,0.3100000023841858,1.6881054639816284,1e-05,0.3481481373310089,0.23499999940395355,0.512499988079071,1.31192147731781,0.4054054021835327,0.1875
40,0.36500000953674316,1.7140986919403076,1e-05,0.41843971610069275,0.29499998688697815,0.512499988079071,1.321061134338379,0.4749999940395355,0.23749999701976776
41,0.3400000035762787,1.7115875482559204,1e-05,0.35555556416511536,0.23999999463558197,0.512499988079071,1.3363040685653687,0.5319148898124695,0.3125
42,0.38999998569488525,1.6988918781280518,1e-05,0.4100719392299652,0.2849999964237213,0.550000011920929,1.2522975206375122,0.5208333134651184,0.3125
43,0.3050000071525574,1.747452974319458,1e-05,0.2978723347187042,0.20999999344348907,0.512499988079071,1.2658296823501587,0.529411792755127,0.3375000059604645
44,0.3449999988079071,1.6816072463989258,1e-05,0.3731343150138855,0.25,0.5,1.322617769241333,0.557692289352417,0.36250001192092896
45,0.3413461446762085,1.6026166677474976,1e-05,0.34558823704719543,0.22596153616905212,0.48750001192092896,1.320941686630249,0.5306122303009033,0.32499998807907104
